Date,Open,High,Low,Close,% Return,% YTD
2015-05-13,10648.65,10764.13,10579.25,10743.31,1.3648908115656333,79.37572312443744
2015-05-14,10753.34,10780.49,10645.01,10770.05,0.2488990823126258,78.93036708278977
2015-05-15,10783.25,10846.05,10775.09,10815.59,0.4228392625846844,78.17696491823376
2015-05-18,10847.59,10956.99,10841.52,10946.96,1.2146355399936581,76.03873586822279
2015-05-19,10943.33,11022.59,10916.39,10946.73,-0.0021010399234078214,76.04243459005566
2015-05-20,10982.55,11039.31,10981.79,11001.29,0.4984136815286533,75.16936650156481
2015-05-21,11015.19,11029.74,10950.73,10991.56,-0.088444173365132,75.32443074504438
2015-05-22,11002.42,11072.84,11000.52,11030.1,0.35063266724650877,74.71183398155954
2015-05-25,11014.38,11026.1,10944.9,10952.97,-0.6992683656539933,75.94214172046487
2015-05-26,10953.9,10967.98,10894.06,10917.57,-0.32320000876474575,76.51263055789887
2015-05-27,10876.84,10919.49,10844.35,10910.13,-0.06814703271882383,76.63300070668268
2015-05-28,10928.57,10947.42,10822.34,10881.02,-0.2668162524186113,77.10554709025439
2015-05-29,10894.57,11033.03,10878.0,11023.76,1.3118255457668537,74.81231449160721
2015-06-01,11003.38,11054.86,10992.11,11010.14,-0.12355131098645833,75.02856457774378
2015-06-02,11026.25,11031.61,10756.68,10767.95,-2.199699549687817,78.96526265445138
2015-06-03,10784.68,10795.5,10523.11,10611.33,-1.4545015532204442,81.60673544221129
2015-06-04,10643.18,10647.27,10519.32,10613.01,0.015832134143423104,81.57798777161238
2015-06-05,10612.27,10687.69,10578.36,10604.43,-0.08084417144618161,81.72490176275386
2015-06-08,10620.74,10622.69,10469.3,10487.09,-1.1065186907735725,83.75822082198208
2015-06-09,10481.19,10511.72,10436.13,10463.36,-0.22627821445224683,84.17496865251697
2015-06-10,10480.68,10620.68,10475.43,10588.08,1.191968927763165,82.00551941428473
2015-06-11,10631.89,10647.6,10392.12,10399.76,-1.778603863967776,85.30129541450955
2015-06-12,10385.5,10423.97,10354.81,10409.55,0.09413678777201451,85.12702278196464
2015-06-15,10431.07,10499.93,10381.72,10447.34,0.363032023478449,84.45738341051405
2015-06-16,10449.38,10498.93,10372.02,10484.63,0.3569329609259375,83.80133586020682
2015-06-17,10522.03,10616.49,10504.7,10566.16,0.7776144699431553,82.38309849557454
2015-06-18,10591.58,10684.84,10589.98,10669.66,0.9795422367255391,80.61390897179479
2015-06-19,10701.03,10765.87,10699.81,10739.35,0.6531604568468019,79.44186566226075
2015-06-22,10773.2,10909.61,10773.08,10897.09,1.468803977894373,76.84436854242738
2015-06-23,10913.94,10967.32,10882.36,10933.84,0.3372459987023957,76.24997256224711
2015-06-24,10949.11,10976.74,10862.55,10888.86,-0.4113833749167628,76.97803075804077
2015-06-25,10873.42,10958.1,10863.24,10940.28,0.4722257426397203,76.14622294858997
2015-06-26,10936.32,10949.49,10866.37,10921.29,-0.17357873838694804,76.45250698406505
2015-06-29,10792.05,10831.08,10675.33,10821.71,-0.9117970496159478,78.07620052653417
2015-06-30,10819.57,10911.63,10814.46,10903.53,0.75607274635896,76.73991817328883
2015-07-01,10920.36,11048.92,10920.26,11020.74,1.074972967470167,74.86021809787727
2015-07-02,11057.4,11085.32,11023.44,11035.32,0.1322960164199527,74.62919063516055
2015-07-03,11045.96,11110.71,11031.62,11069.14,0.30647049655108116,74.09563886625338
2015-07-06,10990.8,11141.57,10952.08,11133.39,0.5804425637402799,73.09094534548777
2015-07-07,11148.22,11196.41,11103.82,11144.72,0.10176594909547809,72.9149767782412
2015-07-08,11090.95,11097.94,10936.25,10970.16,-1.566302248957352,75.66644424511584
2015-07-09,10976.7,11023.49,10916.68,10927.85,-0.38568261538572957,76.34658235609015
2015-07-10,10970.46,10998.1,10912.86,10959.29,0.28770526681827224,75.84067946007448
2015-07-13,10988.21,11098.98,10969.63,11088.66,1.180459683063395,73.78916839365621
2015-07-14,11107.48,11130.29,11070.71,11091.15,0.022455373327345818,73.7501521483345
2015-07-15,11118.27,11181.11,11113.68,11165.91,0.6740509325002364,72.5868290179663
2015-07-16,11193.37,11283.84,11192.61,11274.17,0.9695582357371668,70.92956732069855
2015-07-17,11292.5,11327.42,11267.46,11292.97,0.1667528518729089,70.64501189678181
2015-07-20,11316.98,11318.19,11254.04,11299.64,0.059063293358607716,70.54428282670952
2015-07-21,11291.58,11328.79,11156.88,11172.44,-1.1256995798096137,72.48595651442298
2015-07-22,11168.22,11303.88,11145.63,11296.73,1.1124696127255973,70.588214465602
2015-07-23,11315.77,11340.45,11251.61,11269.09,-0.24467257339070292,71.00662076529693
2015-07-24,11276.28,11279.23,11171.66,11182.0,-0.7728219403696279,72.33849043104989
2015-07-27,11181.53,11181.53,10992.06,11000.06,-1.6270792344839968,75.18895351479901
2015-07-28,11027.72,11044.72,10956.12,10965.28,-0.31618009356311205,75.7446230283221
2015-07-29,10996.03,11029.98,10984.04,11024.61,0.5410714546276951,74.79883642142443
2015-07-30,11062.46,11141.64,11054.19,11098.12,0.6667809564238514,73.64103109355457
2015-07-31,11127.62,11251.28,11127.61,11233.42,1.2191254014193298,71.54962602662411
2015-08-03,11238.2,11304.39,11231.38,11269.46,0.3208283853002758,71.00100625939487
2015-08-04,11289.87,11316.11,11193.3,11286.15,0.14809937654511884,70.74812934437342
2015-08-05,11319.71,11402.97,11319.61,11362.72,0.6784421614102198,69.59750834307279
2015-08-06,11388.1,11410.21,11343.06,11386.34,0.20787276285960665,69.2456926457492
2015-08-07,11397.49,11410.07,11345.35,11358.74,-0.24239571275757044,69.65693377962697
2015-08-10,11374.78,11438.18,11283.8,11311.96,-0.4118414542458093,70.35854087178525
2015-08-11,11345.97,11349.58,11189.94,11218.63,-0.8250559584722761,71.7757872396184
2015-08-12,11217.53,11217.94,11024.09,11034.29,-1.6431596371392798,74.64549146342898
2015-08-13,11075.13,11154.95,11000.7,11022.58,-0.10612372884889476,74.83102867023872
2015-08-14,11066.47,11247.05,11061.73,11236.11,1.9372052641033255,71.50855589701418
2015-08-17,11251.89,11259.18,11133.36,11207.3,-0.25640546416866306,71.94944366618188
2015-08-18,11236.09,11288.98,11176.28,11220.07,0.11394359033845003,71.75374128681906
2015-08-19,11233.13,11292.25,11179.86,11248.58,0.2540982364637623,71.31842419220915
2015-08-20,11262.24,11266.71,11073.73,11082.89,-1.47298592355658,73.87964691519993
2015-08-21,11011.44,11012.74,10882.37,10991.16,-0.8276722046325458,75.3308113065409
2015-08-24,10742.57,10742.57,10221.71,10257.84,-6.671907241819786,87.86498912051658
2015-08-25,10304.24,10430.9,10031.72,10386.83,1.2574772076772378,85.53196692349832
2015-08-26,10397.77,10459.01,10246.68,10292.53,-0.907880460159638,87.23180792283334
